Time_s,BaselineRelativeSpeed_rad_s,resistor_RelativeSpeed_rad_s,distal_RelativeSpeed_rad_s,motorwheel_RelativeSpeed_rad_s,oildamper_RelativeSpeed_rad_s
0.31575,-0.219845352102258,-0.137563698639147,0.0636030286378149,-0.0304563714576245,-0.0556282043683856
0.316,-0.219134100801458,-0.137111223614372,0.0651792333177919,-0.0305560582787878,-0.055627304764106
0.31625,-0.218406330016468,-0.136648343840585,0.0667384573419136,-0.030469858242915,-0.0556226275665364
0.3165,-0.217662107221467,-0.136175101657281,0.0682803421756444,-0.0301986532300296,-0.0556141835072198
0.31675,-0.216901501172354,-0.135691540213809,0.0698045336272157,-0.0297444611167896,-0.0556019835512213
0.317,-0.216124581900513,-0.135197703465498,0.0713106819287863,-0.029110421210113,-0.0555860388956929
0.31725,-0.215331420706469,-0.134693636169718,0.072798441816496,-0.0283007728123372,-0.0555663609684245
0.3175,-0.214522090153451,-0.134179383881878,0.0742674726094075,-0.0273208270627736,-0.0555429614263854
0.31775,-0.213696664060858,-0.133654992951364,0.0757174382873038,-0.026176932241577,-0.0555158521542515
0.318,-0.212855217497624,-0.133120510517412,0.0771480075673345,-0.0248764327617215,-0.0554850452629225
0.31825,-0.211997826775491,-0.132575984504923,0.0785588539794873,-0.0234276221132286,-0.055450553088027
0.3185,-0.211124569442185,-0.132021463620215,0.0799496559408714,-0.0218396900605164,-0.055412388188416
0.31875,-0.21023552427449,-0.131456997346718,0.0813200968287919,-0.0201226644284773,-0.0553705633446459
0.319,-0.209330771271241,-0.130882635940602,0.0826698650526034,-0.0182873478455523,-0.0553250915574491
0.31925,-0.208410391646209,-0.130298430426353,0.0839986541243207,-0.016345249842362,-0.055275986046195
0.3195,-0.207474467820906,-0.129704432592285,0.0853061627279792,-0.0143085147322837,-0.0552232602473395
0.31975,-0.206523083417276,-0.129100694985992,0.0865920947877203,-0.0121898457254641,-0.0551669278128633
0.32,-0.205556323250326,-0.128487270909749,0.0878561595345899,-0.010002425750081,-0.0551070026087008
0.32025,-0.204574273320629,-0.127864214415841,0.0890980715720384,-0.00775983547401093,-0.0550434987131574
0.3205,-0.203577020806769,-0.127231580301851,0.090317550940104,-0.00547596903633796,-0.0549764304153175
0.32075,-0.202564654057672,-0.126589424105876,0.0915143231782625,-0.00316494801125278,-0.0549058122134418
0.321,-0.201537262584857,-0.125937802101693,0.092688119386938,-0.000841034136771723,-0.0548316588133541
0.32125,-0.200494937054605,-0.125276771293872,0.0938386762876489,0.00148145865271232,-0.05475398512682
0.3215,-0.199437769280023,-0.124606389412824,0.0949657362817904,0.00378825234777613,-0.0546728062699135
0.32175,-0.198365852213034,-0.123926714909796,0.0960690475080237,0.00606519259702121,-0.0545881375613762
0.322,-0.197279279936278,-0.12323780695182,0.0971483638982731,0.0082983355130799,-0.0544999945209654
0.32225,-0.196178147654921,-0.122539725416591,0.0982034452323139,0.0104740330195066,-0.0544083928677939
0.3225,-0.195062551688386,-0.121832530887305,0.099234057190936,0.0125790162165198,-0.0543133485186603
