Parameter,Factor,ResonanceHz,PeakReduction_pct,MovingCostReduction_pct,FixedCostReduction_pct,PulseReduction_pct,DCGainRatio
loadInertiaFactor,1.5,5.18635989506901,25.3143015865215,22.8058133775576,50.4945078055312,-9.22568634960164,1
loadInertiaFactor,2,4.91471572414805,40.9440552483697,37.4584958793199,76.9568916468274,-15.1929058536292,1
loadInertiaFactor,3,4.62668102248472,58.6329112822571,54.8312368729532,89.1460770563771,-22.3208229156432,1
loadInertiaFactor,4,4.47547480026761,68.2447010406255,64.7001802137492,92.8873208266878,-25.5835603032141,1
loadInertiaFactor,6,4.31877006917008,78.3552674842835,75.4588253041424,95.7852803391291,-30.4465556808528,1
loadInertiaFactor,8,4.23814627906521,83.5926047901823,81.1984229622066,97.0044559510394,-32.3883071059444,1
Ds,0.25,0.22659865660873,-90.0178312625786,-13.4940828226054,99.7871269599156,-572.025756699542,1
Ds,0.4,0.809553984372057,-17.0795535436318,-31.4689455389238,99.6575488315692,-335.32375326071,1
Ds,0.5,1.3608858192424,-6.45568400391476,-11.2029144005464,99.2853659870882,-221.784605595016,1
Ds,0.6,2.00887979822115,-2.84122774683198,-4.80153506325651,98.4613553581776,-141.047245105576,1
Ds,0.7,2.76284068839778,-1.32875601499662,-2.22000302461507,96.7485469306073,-87.4605098331328,1
Ds,0.8,3.62663052584988,-0.602890660554944,-1.00185795746617,92.7909054436522,-50.7911850159125,1
Ds,1,5.69013197069411,0,0,0,0,1
Ds,1.2,8.20592739641846,0.215626537654512,0.355969456849436,80.6262729415626,28.7435260580646,1
Ds,1.5,12.8322060077564,0.333995302589729,0.550997528156694,87.5273598216922,53.1264344630662,1
Ds,2,22.821573610126,0.390080324119901,0.643154900438081,89.3162877564795,73.3824084510879,1
Ds,3,51.3559250339489,0.410903003268503,0.677436500468809,89.8555913895379,88.3154990985246,1
Ds,4,91.3016193703751,0.414406491424157,0.683194000776954,89.9409876719394,93.8222186498272,1
Ds,6,NaN,91.0416276104344,89.9723381408306,89.9723381408306,97.8190810302629,1
Ds,8,NaN,91.04395771483,89.9775940988975,89.9775940988975,99.0298226002516,1
Ls,0.25,11.4046759370356,0.312193497493551,0.514984873540714,86.6568071101177,47.492883367987,1
Ls,0.4,9.01235076901291,0.249837492052718,0.412487903437109,83.311475262489,34.7672320023014,1
Ls,0.5,8.05857199925713,0.208243624428506,0.343788509155751,79.9257398593319,27.4436347250398,1
Ls,0.6,7.35433613155974,0.166631593717081,0.275187877964511,74.7299381194035,20.2221085702847,1
Ls,0.7,6.80683847102899,0.125001333091523,0.206415607073618,65.5919075733035,15.1168376551192,1
Ls,0.8,6.36541431919879,0.0833527673467227,0.13788198224215,44.6303459049844,8.74584313228627,1
Ls,1,5.69013197069411,0,0,0,0,1
Ls,1.2,5.19137459108175,-0.0834258721646108,-0.13814786445665,35.7307384097895,-8.66574653570933,1
Ls,1.5,4.63931538894681,-0.208702147571183,-0.345769904499327,77.9059577256778,-21.3352563444296,1
