Time_s,BaselineMotor_rad_s,BaselineDistal_rad_s,BaselineRipple_rad_s,Rm_Ripple_rad_s,Km_Ripple_rad_s,Bs_Ripple_rad_s,Bm_Ripple_rad_s
1.523,3.34502869111591,3.39831218738412,0.0268061539120796,0.0193741034412018,0.0196021962336861,0.000657442219044402,-3.32543650124473e-05
1.524,3.34525103986957,3.39927213904176,0.0271772312316023,0.0196322252688748,0.0198690637315919,0.000656427929190961,-3.36777638238472e-05
1.525,3.34550746141292,3.40019685101511,0.0275134384510851,0.0198652321508419,0.0201105332471316,0.000655415206129994,-3.40580013105662e-05
1.526,3.34579825398062,3.40108591877947,0.0278144220224781,0.0200728757344906,0.0203263416664332,0.000654404047406576,-3.43951162761758e-05
1.527,3.34612366997229,3.40193898334961,0.0280798743669499,0.0202549407091821,0.020516259295642,0.000653394450568001,-3.46891964148055e-05
1.528,3.3464839157341,3.40275573163886,0.0283095341653636,0.0204112450149219,0.0206800900932658,0.000652386413162453,-3.49403776737645e-05
1.529,3.34687915140003,3.40353589675845,0.0285031865887753,0.0205416400079539,0.0208176718589055,0.000651379932741225,-3.51488435688108e-05
1.53,3.34730949079265,3.40427925825699,0.0286606634688011,0.0206460105831563,0.0209288763782043,0.000650375006858273,-3.53148244524593e-05
1.531,3.34777500138353,3.40498564229978,0.0287818434077605,0.0207242752531629,0.0210136095239242,0.000649371633071105,-3.54385967361037e-05
1.532,3.34827570431321,3.40565492178803,0.028866651828598,0.0207763861842021,0.0210718113130826,0.000648369808937233,-3.55204820687294e-05
1.533,3.34881157447048,3.40628701641782,0.0289150609646529,0.0208023291886961,0.0211034559201795,0.000647369532019937,-3.55608464726043e-05
1.534,3.34938254063084,3.40688189267889,0.0289270897894234,0.0208021236747209,0.0211085516465643,0.000646370799882945,-3.55600994380034e-05
1.535,3.34998848565372,3.40743956379352,0.0289028038865609,0.0207758225524661,0.0210871408460664,0.000645373610095312,-3.55186929771323e-05
1.536,3.35062924673819,3.40796008959554,0.0288423152603814,0.0207235120979252,0.0210392998070739,0.000644377960225206,-3.54371206412463e-05
1.537,3.3513046157366,3.40844357634984,0.028745782087285,0.0206453117740582,0.0209651385912837,0.000643383847848789,-3.53159165004113e-05
1.538,3.35201433952563,3.40889017651281,0.0286134084085248,0.02054137400975,0.0208648008294201,0.000642391270541331,-3.51556540874043e-05
1.539,3.3527581204343,3.40930008843403,0.0284454437648627,0.0204118839369385,0.0207384634742529,0.000641400225883437,-3.49569453093057e-05
1.54,3.35353561672794,3.40967355599981,0.0282421827737012,0.0202570590863327,0.0205863365113252,0.000640410711457484,-3.47204393265632e-05
1.541,3.35434644314774,3.41001086821909,0.0280039646493755,0.0200771490421894,0.0204086626278279,0.000639422724852068,-3.44468214014682e-05
1.542,3.3551901715048,3.41031235875252,0.0277311726673317,0.0198724350566835,0.0202057168401337,0.00063843626365534,-3.41368117184881e-05
1.543,3.3560663313279,3.41057840538522,0.027424233573031,0.0196432296244451,0.0199778060805405,0.000637451325462113,-3.37911641776212e-05
1.544,3.35697441056403,3.41080942944422,0.0270836169364332,0.0193898760178914,0.0197252687438341,0.000636467907868976,-3.3410665161604e-05
1.545,3.35791385633065,3.4110058951614,0.0267098344530363,0.0191127477840292,0.0194484741943213,0.000635486008476516,-3.29961322807493e-05
1.546,3.35888407571862,3.41116830898274,0.0263034391924704,0.0188122482034476,0.0191478222340482,0.000634505624889758,-3.25484130949683e-05
1.547,3.35988443664459,3.41129721882517,0.0258650247957397,0.0184888097122911,0.0188237425329509,0.000633526754716396,-3.20683838156977e-05
1.548,3.36091426875174,3.41139321328174,0.0253952246222573,0.0181428932879908,0.0184766940217456,0.00063254939556856,-3.15569479896194e-05
